date,home_team,score,away_team
05-08-2022,Crystal Palace,0 - 2,Arsenal
13-08-2022,Arsenal,4 - 2,Leicester
20-08-2022,Bournemouth,0 - 3,Arsenal
27-08-2022,Arsenal,2 - 1,Fulham
31-08-2022,Arsenal,2 - 1,Aston Villa
04-09-2022,Man United,3 - 1,Arsenal
18-09-2022,Brentford,0 - 3,Arsenal
01-10-2022,Arsenal,3 - 1,Tottenham
09-10-2022,Arsenal,? - ?,Liverpool
06-08-2022,Bournemouth,2 - 0,Aston Villa
13-08-2022,Aston Villa,2 - 1,Everton
20-08-2022,Crystal Palace,3 - 1,Aston Villa
28-08-2022,Aston Villa,0 - 1,West Ham
31-08-2022,Arsenal,2 - 1,Aston Villa
03-09-2022,Aston Villa,1 - 1,Man City
16-09-2022,Aston Villa,1 - 0,Southampton
02-10-2022,Leeds,0 - 0,Aston Villa
02-10-2022,Leeds,? - ?,Aston Villa
06-08-2022,Bournemouth,2 - 0,Aston Villa
13-08-2022,Man City,4 - 0,Bournemouth
20-08-2022,Bournemouth,0 - 3,Arsenal
27-08-2022,Liverpool,9 - 0,Bournemouth
31-08-2022,Bournemouth,0 - 0,Wolves
03-09-2022,Nott'm Forest,2 - 3,Bournemouth
17-09-2022,Newcastle,1 - 1,Bournemouth
01-10-2022,Bournemouth,0 - 0,Brentford
07-08-2022,Leicester,2 - 2,Brentford
13-08-2022,Brentford,4 - 0,Man United
20-08-2022,Fulham,3 - 2,Brentford
27-08-2022,Brentford,1 - 1,Everton
30-08-2022,Crystal Palace,1 - 1,Brentford
03-09-2022,Brentford,5 - 2,Leeds
18-09-2022,Brentford,0 - 3,Arsenal
01-10-2022,Bournemouth,0 - 0,Brentford
08-10-2022,Newcastle,? - ?,Brentford
07-08-2022,Man United,1 - 2,Brighton
13-08-2022,Brighton,0 - 0,Newcastle
21-08-2022,West Ham,0 - 2,Brighton
27-08-2022,Brighton,1 - 0,Leeds
30-08-2022,Fulham,2 - 1,Brighton
04-09-2022,Brighton,5 - 2,Leicester
01-10-2022,Liverpool,3 - 3,Brighton
08-10-2022,Brighton,? - ?,Tottenham
06-08-2022,Everton,0 - 1,Chelsea
14-08-2022,Chelsea,2 - 2,Tottenham
21-08-2022,Leeds,3 - 0,Chelsea
27-08-2022,Chelsea,2 - 1,Leicester
30-08-2022,Southampton,2 - 1,Chelsea
03-09-2022,Chelsea,2 - 1,West Ham
01-10-2022,Crystal Palace,1 - 2,Chelsea
08-10-2022,Chelsea,? - ?,Wolves
05-08-2022,Crystal Palace,0 - 2,Arsenal
15-08-2022,Liverpool,1 - 1,Crystal Palace
20-08-2022,Crystal Palace,3 - 1,Aston Villa
27-08-2022,Man City,4 - 2,Crystal Palace
30-08-2022,Crystal Palace,1 - 1,Brentford
03-09-2022,Newcastle,0 - 0,Crystal Palace
01-10-2022,Crystal Palace,1 - 2,Chelsea
06-08-2022,Everton,0 - 1,Chelsea
13-08-2022,Aston Villa,2 - 1,Everton
20-08-2022,Everton,1 - 1,Nott'm Forest
27-08-2022,Brentford,1 - 1,Everton
30-08-2022,Leeds,1 - 1,Everton
03-09-2022,Everton,0 - 0,Liverpool
18-09-2022,Everton,1 - 0,West Ham
01-10-2022,Southampton,1 - 2,Everton
06-08-2022,Fulham,2 - 2,Liverpool
13-08-2022,Wolves,0 - 0,Fulham
20-08-2022,Fulham,3 - 2,Brentford
27-08-2022,Arsenal,2 - 1,Fulham
30-08-2022,Fulham,2 - 1,Brighton
03-09-2022,Tottenham,2 - 1,Fulham
16-09-2022,Nott'm Forest,2 - 3,Fulham
01-10-2022,Fulham,1 - 4,Newcastle
09-10-2022,West Ham,? - ?,Fulham
06-08-2022,Leeds,2 - 1,Wolves
13-08-2022,Southampton,2 - 2,Leeds
21-08-2022,Leeds,3 - 0,Chelsea
27-08-2022,Brighton,1 - 0,Leeds
30-08-2022,Leeds,1 - 1,Everton
03-09-2022,Brentford,5 - 2,Leeds
02-10-2022,Leeds,0 - 0,Aston Villa
02-10-2022,Leeds,? - ?,Aston Villa
07-08-2022,Leicester,2 - 2,Brentford
13-08-2022,Arsenal,4 - 2,Leicester
20-08-2022,Leicester,1 - 2,Southampton
27-08-2022,Chelsea,2 - 1,Leicester
01-09-2022,Leicester,0 - 1,Man United
04-09-2022,Brighton,5 - 2,Leicester
17-09-2022,Tottenham,6 - 2,Leicester
03-10-2022,Leicester,? - ?,Nott'm Forest
06-08-2022,Fulham,2 - 2,Liverpool
15-08-2022,Liverpool,1 - 1,Crystal Palace
22-08-2022,Man United,2 - 1,Liverpool
27-08-2022,Liverpool,9 - 0,Bournemouth
31-08-2022,Liverpool,2 - 1,Newcastle
03-09-2022,Everton,0 - 0,Liverpool
01-10-2022,Liverpool,3 - 3,Brighton
09-10-2022,Arsenal,? - ?,Liverpool
07-08-2022,West Ham,0 - 2,Man City
13-08-2022,Man City,4 - 0,Bournemouth
21-08-2022,Newcastle,3 - 3,Man City
27-08-2022,Man City,4 - 2,Crystal Palace
31-08-2022,Man City,6 - 0,Nott'm Forest
03-09-2022,Aston Villa,1 - 1,Man City
17-09-2022,Wolves,0 - 3,Man City
02-10-2022,Man City,6 - 3,Man United
02-10-2022,Man City,? - ?,Man United
07-08-2022,Man United,1 - 2,Brighton
13-08-2022,Brentford,4 - 0,Man United
22-08-2022,Man United,2 - 1,Liverpool
27-08-2022,Southampton,0 - 1,Man United
01-09-2022,Leicester,0 - 1,Man United
04-09-2022,Man United,3 - 1,Arsenal
02-10-2022,Man City,6 - 3,Man United
02-10-2022,Man City,? - ?,Man United
06-08-2022,Newcastle,2 - 0,Nott'm Forest
13-08-2022,Brighton,0 - 0,Newcastle
21-08-2022,Newcastle,3 - 3,Man City
28-08-2022,Wolves,1 - 1,Newcastle
31-08-2022,Liverpool,2 - 1,Newcastle
03-09-2022,Newcastle,0 - 0,Crystal Palace
17-09-2022,Newcastle,1 - 1,Bournemouth
01-10-2022,Fulham,1 - 4,Newcastle
08-10-2022,Newcastle,? - ?,Brentford
06-08-2022,Newcastle,2 - 0,Nott'm Forest
14-08-2022,Nott'm Forest,1 - 0,West Ham
20-08-2022,Everton,1 - 1,Nott'm Forest
28-08-2022,Nott'm Forest,0 - 2,Tottenham
31-08-2022,Man City,6 - 0,Nott'm Forest
03-09-2022,Nott'm Forest,2 - 3,Bournemouth
16-09-2022,Nott'm Forest,2 - 3,Fulham
03-10-2022,Leicester,? - ?,Nott'm Forest
06-08-2022,Tottenham,4 - 1,Southampton
13-08-2022,Southampton,2 - 2,Leeds
20-08-2022,Leicester,1 - 2,Southampton
27-08-2022,Southampton,0 - 1,Man United
30-08-2022,Southampton,2 - 1,Chelsea
03-09-2022,Wolves,1 - 0,Southampton
16-09-2022,Aston Villa,1 - 0,Southampton
01-10-2022,Southampton,1 - 2,Everton
06-08-2022,Tottenham,4 - 1,Southampton
14-08-2022,Chelsea,2 - 2,Tottenham
20-08-2022,Tottenham,1 - 0,Wolves
